task id resource fire_time start_time end_time time execution_time upload_time cpu memory
mProject 74 fargate 372466 426403 447659 21256 360 20540 352 05 2
mProject 186 fargate 372226 424997 451125 26128 206 25702 216 05 2
mProject 1688 fargate 373227 423340 449548 26208 217 25755 232 05 2
mProject 1641 fargate 372332 425259 451099 25840 181 25410 244 05 2
mDiffFit 2309 fargate 395253 448895 449564 669 600 13 52 05 2
mProject 3299 fargate 382492 435663 453325 17662 231 17197 230 05 2
mProject 1621 fargate 372648 427239 453507 26268 183 25819 260 05 2
mDiffFit 2049 fargate 402361 455191 456015 824 700 17 102 05 2
mDiffFit 1289 fargate 402471 457996 458787 791 615 74 98 05 2
mDiffFit 4196 fargate 402703 457034 457853 819 691 14 109 05 2
mDiffFit 4076 fargate 402240 455026 455748 722 614 12 92 05 2
mDiffFit 1086 fargate 403315 457195 458027 832 708 14 107 05 2
mProject 3401 fargate 383229 432265 458388 26123 205 25608 306 05 2
mDiffFit 4408 fargate 404030 457904 458737 833 774 16 39 05 2
mDiffFit 2624 fargate 405326 455963 456714 751 687 14 46 05 2
mProject 3452 fargate 382238 435458 460990 25532 180 25044 304 05 2
mProject 3241 fargate 382468 436393 462157 25764 191 25326 243 05 2
mProject 72 fargate 392471 444913 465961 21048 183 20637 224 05 2
mProject 86 fargate 392241 445543 463228 17685 213 17281 185 05 2
mProject 131 fargate 382819 436360 462364 26004 223 25566 212 05 2
mProject 59 fargate 385230 437975 464283 26308 203 25813 287 05 2
mProject 3295 fargate 392144 440508 466444 25936 209 25479 243 05 2
mDiffFit 3537 fargate 413323 466697 467361 664 599 20 42 05 2
mProject 3442 fargate 392835 446748 466011 19263 210 18875 175 05 2
mDiffFit 1074 fargate 414106 466914 467636 722 671 13 35 05 2
mProject 1802 fargate 394002 448886 470247 21361 197 20922 238 05 2
